coder,volume_id,descriptive_title,full_description,n_files,thumbnail,investigator_1_lastname,investigator_1_party_id,sharing_level,funding_listed,comments
ars,1,yes,yes,128,yes,,,entire,yes,
ars,2,yes,yes,16,yes,gilmore,6,entire,yes,
ars,3,NA,NA,NA,NA,,,404 Not Found,NA,
ars,4,yes,yes,111,yes,,,entire,yes,
ars,5,yes,yes,231,yes,,,entire,yes,
ars,6,NA,NA,NA,NA,,,404 Not Found,NA,
ars,7,yes,yes,118,yes,,,entire,yes,
rog,8,yes,yes,4395,no,,,entire,yes,
rog,9,yes,yes,5,yes,,,entire,yes,
rog,10,yes,yes,6,no,,,entire,no,
rog,11,yes,yes,234,no,karasik,32,private,yes,
rog,12,yes,no,0,no,adolph,5,private,yes,no investigator associated with this project - Dylan removed 2015
rog,13,yes,yes,0,no,adolph,5,private,yes,no investigator associated with this project - Dylan removed 2015
rog,14,yes,yes,0,no,adolph,5,private,yes,no investigator associated with this project - Dylan removed 2015
rog,15,yes,yes,45,no,,,entire,yes,
rog,16,yes,yes,11,no,,,entire,yes,
rog,17,NA,NA,NA,NA,,,404 Not Found,NA,
rog,18,NA,NA,NA,NA,,,404 Not Found,NA,
rog,19,NA,NA,NA,NA,,,404 Not Found,NA,
rog,20,NA,NA,NA,NA,,,404 Not Found,NA,
rog,21,NA,NA,NA,NA,,,404 Not Found,NA,
rog,22,NA,NA,NA,NA,,,404 Not Found,NA,
rog,23,yes,yes,10,no,,,entire,yes,
rog,24,yes,yes,1,no,,,entire,yes,
sr,25,NA,NA,NA,NA,,,404 Not Found,NA,
sr,26,NA,NA,NA,NA,,,404 Not Found,NA,
sr,27,yes,yes,19,yes,,,entire,no,
sr,28,yes,yes,2,yes,,,entire,yes,"""You are not authorized to view this file"""
sr,29,yes,yes,3,yes,,,entire,no,
sr,30,yes,yes,1195,no,,,entire,yes,
sr,31,yes,yes,5,yes,,,entire,yes,
sr,32,yes,yes,1,yes,,,entire,yes,"""You are not authorized to view this file"""
sr,33,yes,yes,6,yes,,,entire,no,"""You are not authorized to view this file"""
sr,34,yes,yes,5,yes,,,entire,no,
sr,35,yes,yes,2,yes,,,entire,no,"""You are not authorized to view this file"""
sr,36,yes,yes,17,yes,,,entire,no,"""You are not authorized to view this file"""
sr,37,yes,yes,2,yes,,,entire,no,"""You are not authorized to view this file"""
sr,38,yes,yes,4,yes,,,entire,no,
sr,39,yes,no,0,no,wilkinson,245,private,no,
sr,40,yes,yes,1,no,,,entire,yes,
sr,41,yes,yes,1,yes,berthier,268,private,yes,"shared files, but private volume"
sr,42,yes,yes,42,yes,,,entire,no,"""You are not authorized to view this file"""
sr,43,yes,yes,2,yes,,,entire,no,"""You are not authorized to view this file"""
sr,44,yes,yes,1,yes,,,entire,no,
sr,45,yes,yes,6,yes,,,entire,yes,"""You are not authorized to view this file"""
sr,46,yes,yes,1,yes,,,entire,yes,
sr,47,yes,yes,1,yes,,,entire,no,"""You are not authorized to view this file"""
sr,48,NA,NA,NA,NA,,,404 Not Found,NA,
sr,49,yes,yes,1,yes,,,entire,yes,
sr,50,yes,yes,12,yes,,,entire,no,"""You are not authorized to view this file"""
sr,51,yes,yes,6,yes,,,entire,no,"""You are not authorized to view this file"""
sr,52,NA,NA,NA,NA,,,404 Not Found,NA,
sr,53,yes,yes,1,yes,,,entire,no,"""You are not authorized to view this file"""
sr,54,NA,NA,NA,NA,,,404 Not Found,NA,
sr,55,yes,yes,0,no,waxman,275,private,no,
sr,56,yes,yes,1,yes,waxman,275,private,no,"shared files, but private volume"
sr,57,yes,no,17,yes,hoffmann,117,private,no,"shared files, but private volume"
sr,58,yes,no,11,yes,yoshida,298,private,no,"shared files, but private volume"
sr,59,yes,yes,1,yes,amso,297,private,no,"shared files, but private volume"
sr,60,NA,NA,NA,NA,,,404 Not Found,NA,
sr,61,yes,yes,6,yes,,,entire,yes,"""You are not authorized to view this file"""
sr,62,yes,NA,1,yes,,,entire,yes,"""You are not authorized to view this file"""
sr,63,yes,yes,1,yes,amso,297,private,no,"shared files, but private volume"
sr,64,yes,yes,1,yes,,,entire,no,"""You are not authorized to view this file"""
sr,65,yes,yes,1,yes,,,entire,yes,"""You are not authorized to view this file"""
sr,66,NA,NA,NA,NA,,,404 Not Found,NA,
sr,67,no,yes,9,no,bergelson,61,private,yes,
svp,68,yes,yes,no,no,,,entire,yes,"""there are no files associated with this volume"""
svp,69,NA,NA,NA,NA,,,404 Not Found,NA,"""The resources you request may no longer be available, but first try logging in"""
svp,70,yes,yes,264,yes,,,entire,no,
svp,71,no,no,0,no,vishton,60,private,no,
svp,72,NA,NA,NA,NA,,,404 Not Found,NA,"""The resources you request may no longer be available, but first try logging in"""
svp,73,yes,yes,53,yes,,,entire,yes,
svp,74,NA,NA,NA,NA,,,404 Not Found,NA,"""The resources you request may no longer be available, but first try logging in"""
svp,75,yes,yes,10,yes,,,entire,yes,
svp,76,NA,NA,NA,NA,,,404 Not Found,NA,"""The resources you request may no longer be available, but first try logging in"""
svp,77,yes,yes,106,yes,,,entire,yes,
svp,78,NA,NA,NA,NA,,,404 Not Found,NA,"""The resources you request may no longer be available, but first try logging in"""
svp,79,yes,yes,6,no,,,entire,yes,
svp,80,NA,NA,NA,NA,,,404 Not Found,NA,"""The resources you request may no longer be available, but first try logging in"""
svp,81,yes,yes,3668,yes,,,entire,yes,
svp,82,NA,NA,NA,NA,,,404 Not Found,NA,"""The resources you request may no longer be available, but first try logging in"""
